,Year,"U.S. total population, July 11",Butter7,Margarine7,Lard2,Edible tallow2,Shortening,Salad and cooking oils3 4,Other edible fats and oils5,Total6
5,1910,92.407,18.407696386637376,1.5583235036306773,8.213663467053362,,8,,1.5,37.679683357321416
6,1911,93.863,18.6868094989506,1.0866901761077314,5.635873560401862,,8,,1.5,34.909373235460194
7,1912,95.335,16.625583468820476,1.4580164682435623,11.213090680232863,,8.328525725074737,,1.2,38.82521634237165
8,1913,97.225,16.5183851889946,1.5428130624839291,10.68655181280535,,9.544870146567241,,1.9,40.19262021085112
9,1914,99.111,17.001140135807326,1.4024679399864797,10.634541070113308,,10.755617439033003,,3.8,43.59376658494011
10,1915,100.546,17.2259463330217,1.3824518131004713,11.507170847174427,,9.97553358661707,,3.1,43.19110257991367
11,1916,101.961,17.320347976186973,1.794803895607144,11.58286011318053,,9.503633742313237,,2,42.20164572728788
12,1917,103.414,15.752219235306631,2.7462432552652447,10.037325700582127,,10.781905738101225,,0.9,40.217693929255226
13,1918,104.55,14.17503586800574,3.318986131037781,11.850789096126256,,10.47345767575323,,3.7,43.51826877092301
14,1919,105.063,15.286066455364876,3.369406927272208,10.67930670169327,,11.650152765483567,,2.4,43.38493284981392
15,1920,106.461,14.897474192427275,3.4190924376062597,11.966823531621909,,7.570847540413861,,1.8,39.6542377020693
16,1921,108.538,16.261585804050195,1.9808730582837348,10.788848145350016,,6.965302474709318,,3.5,39.49660948239327
17,1922,110.049,17.110559841525138,1.6719824805313996,13.30316495379331,,6.678843060818362,,4.4,43.164550336668206
18,1923,111.947,17.874529911475967,2.0188124737599042,14.337141683117904,,6.556674140441459,,3.9,44.68715820879523
19,1924,114.109,17.851352654041314,2.015616647240796,14.240769790288233,,7.0196040627820775,,4.3,45.42734315435242
20,1925,115.829,18.07837415500436,2.002952628443654,12.26808484921738,,9.67805989864369,,4.8,46.82747153130908
21,1926,117.397,18.313926250244894,2.0443452558412907,12.214962903651712,,9.514723544894673,,5.6,47.687957954632566
22,1927,119.035,18.288738606292267,2.318645776452304,12.67694375603814,,9.703028521023228,,4.9,47.88735665980594
23,1928,120.509,17.57545079620609,2.6056145184177115,13.202333435677003,,9.335402335095305,,5,47.71880108539611
24,1929,121.767,17.58276051803855,2.8989791979764634,12.745653584304451,,9.887736414627938,,5.6,48.7151297149474
25,1930,123.188,17.566646101893042,2.6220086372049227,12.655453453258435,,9.757443906874046,,6.2,48.80155209923045
26,1931,124.149,18.284480744911356,1.8526125864888159,13.588510580028837,,9.36777581776736,,5.1,48.19337972919637
27,1932,124.949,18.45552985618132,1.6166595971156232,14.397874332727753,,7.4910563509912045,,4.8,46.761120137015894
28,1933,125.69,18.14782401145676,1.9333280292783834,13.986792903174477,,7.518497891638157,,5.3,46.88644283554777
29,1934,126.485,18.539747796181366,2.079297940467249,12.950152191959521,,9.45566667984346,,5.4,48.42486460845159
30,1935,127.362,17.540553697335156,2.983621488356025,9.578995304721975,,12.044408850363531,,5.9,48.047579340776686
31,1936,128.181,16.780958176328785,3.0503740804019315,11.249717196776432,,12.326319813388878,,6,49.407369266896026
32,1937,128.961,16.733741208582437,3.0784500740533955,10.522561084358836,,12.329308860818387,,6.6,49.26406122781306
33,1938,129.969,16.619347690603146,2.9622448430010233,11.056482699720704,,11.533519531580609,,6.9,49.07159476490548
34,1939,131.028,17.3703330585829,2.304850871569436,12.684311750160273,,10.654211313612358,,7.2,50.213706993924966
35,1940,132.122,16.984302387187597,2.406866381072039,14.388216950999832,,8.96898321248543,,7.4,50.14836893174489
36,1941,133.402,16.38656092112562,2.7285947736915492,13.785400518732853,,10.487099143940872,,8.2,51.58765535749089
37,1942,134.86,16.43185525730387,2.928963369420139,12.857778436897522,,9.587720599139848,,7.6,49.40631766276138
38,1943,136.739,13.097945721410863,3.6639144647832733,12.732285595184987,,9.770438572755396,,6.7,45.964584354134516
39,1944,138.397,13.389018548089917,3.598343894737603,12.572526861131383,,9.768997882902086,,6.9,46.22888718686099
40,1945,139.928,11.684580641472758,3.8519810188096737,12.170544851637985,,9.955119775884741,,6.2,43.86222628780516
41,1946,141.389,10.679755850879488,3.80510506475044,11.677004576027837,,10.099795599374774,,6.4,42.661661091032535
42,1947,144.126,11.2956718426932,4.988690451410571,12.711100009713721,,9.339050552988358,,6.9,45.23451285680585
43,1948,146.631,10.134282655100218,6.083297529171867,13.005435412702635,,9.670533516105053,,7.1,45.99354911307977
44,1949,149.188,10.597367080462236,5.731023942944473,12.004986996273159,,9.699171515135266,,7.9,45.93254953481513
45,1950,151.684,10.864692386804146,6.124574773871998,12.638116083436618,,11.042694021782125,,8.6,49.27007726589489
46,1951,154.287,9.702696921970094,6.675870293673478,12.30174933727404,,9.035109892602746,,7.7,45.41542644552036
47,1952,156.954,8.626731399008627,8.11065662550811,11.614868050511614,,10.245039948010245,,8.7,47.2972960230386
48,1953,159.565,8.598376837025663,8.059411525083823,11.142794472472033,,10.397016889668787,,9.1,47.29759972425031
49,1954,162.391,9.089173661101908,8.319426569206422,10.031344101581984,,11.81099937804435,,9.5,48.75094370993467
50,1955,165.275,9.305702616850702,8.04114354863107,9.934956890031765,,11.556496747844502,,10.5,49.33829980335804
51,1956,168.221,8.976287146075698,8.066769309420346,9.665856224847076,,11.003382455222594,,10.9,48.61229513556571
52,1957,171.274,8.530191389235961,8.49515980242185,9.289209103541694,,10.468605859616755,,10.8,47.583166154816254
