,Year,US Population,Shell Total,Shell Per Capita,Processed Total,Processed Per Capita,Total Farm Weight Count,Total Farm Weight Count Per Capita,Total Farm Weight Pounds,Total Farm Weight Pounds Per Capita,Total Retail Weight Count,Total Retail Weight Count Per Capita,Total Retai Weight Pounds,Total Retail Weight Pounds Per Capita
29,1933,125.69,,,,,37236,296.2526851778184,4871.71,38.75972631076458,4725.5587,37.59693452144164,36118.92,287.3651046224839
30,1934,126.485,,,,,36480,288.41364588686406,4772.8,37.73411867019805,4629.616,36.60209511009211,35385.6,279.76123651025813
31,1935,127.362,,,,,35568,279.2669713101239,4653.4800000000005,36.53742874640788,4513.8756,35.44130588401564,34500.96,270.8889621708202
32,1936,128.181,,,,,36972,288.43588363329974,4837.17,37.737028108690055,4692.0549,36.60491726542935,35862.84,279.78280712430075
33,1937,128.961,,,,,39684,307.72093888850117,5191.99,40.26015617124556,5036.230299999999,39.05235148610819,38493.479999999996,298.4893107218461
34,1938,129.969,,,,,40284,309.9508344297486,5270.49,40.55190083789211,5112.3753,39.33534381275535,39075.479999999996,300.65230939685614
35,1939,131.028,,,,,40980,312.7575785328327,5361.55,40.91911652471228,5200.7035,39.691543028970905,39750.6,303.3748511768477
36,1940,132.122,,,,,42120,318.79626405897574,5510.7,41.70917788104933,5345.379,40.457902544617845,40856.4,309.2323761372065
37,1941,133.402,,,,,41772,313.12873869956974,5465.17,40.967676646527046,5301.2149,39.73864634713123,40518.84,303.7348765385826
38,1942,134.86,,,,,43776,324.60329230312914,5727.360000000001,42.46893074299273,5498.265600000001,40.77017351327302,42024.96,311.61916061100396
39,1943,136.739,,,,,49272,360.3361147880268,6446.42,47.14397501810018,6188.5632,45.258216017376164,47301.119999999995,345.9226701965057
40,1944,138.397,,,,,51696,373.53410839830343,6763.56,48.87071251544471,6493.0176,46.915884014826915,49628.159999999996,358.5927440623713
41,1945,139.928,,,,,58968,421.4167286032817,7714.9800000000005,55.135355325596024,7406.3808,52.92994111257218,56609.28,404.5600594591504
42,1946,141.389,,,,,54456,385.1501884870817,7124.66,50.39048299372652,6839.673599999999,48.37486367397746,52277.759999999995,369.7441809475984
43,1947,144.126,,,,,55572,385.57928479247323,7270.67,50.446623093681914,7052.5499,48.93322440087146,53904.84,374.011906248699
44,1948,146.631,,,,,58032,395.76897109069705,7592.52,51.779773717699534,7364.7444000000005,50.226380506168546,56291.04,383.89590195797615
45,1949,149.188,,,,,57372,384.5617609995442,7506.17,50.31349706410704,7280.9848999999995,48.80409215218382,55650.84,373.0249081695579
46,1950,151.684,,,,,59364,391.3662614382532,7766.79,51.203752538171464,7533.7863,49.667639962026314,57583.08,379.6252735951056
47,1951,154.287,,,,,61152,396.35225262011704,8000.72,51.856086384465314,7760.6984,50.300403792931355,59317.439999999995,384.4616850415135
48,1952,156.954,,,,,61224,390.07607324439005,8010.14,51.03495291614104,7769.8358,49.5039043286568,59387.28,378.3737910470584
49,1953,159.565,,,,,60540,379.4065114530129,7920.650000000001,49.639018581769186,7683.030500000001,48.149848024316114,58723.799999999996,368.02431610942244
50,1954,162.391,,,,,61044,375.9075318213448,7986.59,49.18123541329261,7746.9923,47.70579835089383,59212.68,364.6303058667045
51,1955,165.275,,,,,61344,371.16321282710635,8025.84,48.56052034487975,7785.0648,47.10370473453335,59503.68,360.02831644229315
52,1956,168.221,,,,,62004,368.5865617253494,8112.1900000000005,48.223408492399884,7868.8243,46.776706237627884,60143.88,357.5289648735889
53,1957,171.274,,,,,61920,361.52597592162266,8101.200000000001,47.299648516412304,7858.164000000001,45.88065906091993,60062.4,350.680196643974
54,1958,174.141,,,,,61620,353.851189553293,8061.950000000001,46.29553063322251,7820.0915,44.90666471422583,59771.4,343.23565386669424
55,1959,177.073,,,,,62268,351.6515787274175,8146.7300000000005,46.00774821683712,7902.328100000001,44.62751577033201,60399.96,341.10203136559494
56,1960,180.671,,,,,60312,333.82225149581285,7890.820000000001,43.67507790403552,7654.0954,42.36482556691445,58502.64,323.80758395093847
57,1961,183.691,,,,,60252,328.0073601864,7882.97,42.914296291054,7646.4809000000005,41.62686740232238,58444.439999999995,318.16713938080795
58,1962,186.538,,,,,60780,325.83173401666147,7952.05,42.629651867179874,7713.4885,41.35076231116448,58956.6,316.0567819961616
59,1963,189.242,,,,,59964,316.8641210724892,7845.29,41.45638917365067,7609.9313,40.21269749844115,58165.08,307.35819744031454
60,1964,191.889,,,,,61008,317.93380548129386,7981.88,41.59633955046928,7742.4236,40.348449363955204,59177.759999999995,308.395791316855
61,1965,194.303,,,,,61116,314.53966228004714,7996.01,41.1522724816395,7756.1297,39.91770430719032,59282.52,305.1034724116457
62,1966,196.56,55728,283.5164835164835,5904,30.036630036630036,61632,313.5531135531136,8063.52,41.02319902319903,7878.05904,40.07966544566545,60214.464,306.3413919413919
63,1967,198.712,57072,287.2096300173115,6828,34.36128668625951,63900,321.570916703571,8360.25,42.07219493538388,8170.472325,41.117156110350656,62449.469999999994,314.2712568943999
64,1968,200.706,57180,284.89432303967,6336,31.56856297270635,63516,316.4628860123763,8310.01,41.403894253285905,8124.696777,40.480587411437625,62099.5932,309.40576365430036
65,1969,202.677,56472,278.6305303512485,6288.8399999999965,31.02887846178894,62760.84,309.6594088130375,8211.2099,40.51377265303907,8030.5632822,39.622469654672216,61380.10152,302.8469018191507
66,1970,205.052,56566.8,275.8656340830619,6774.443999999996,33.037688001092384,63341.244,308.9033220841543,8287.14609,40.414851306010185,8107.315019846999,39.53784903266976,61966.7390052,302.2001199949281
67,1971,207.661,56889.528,273.9538382267253,7465.728000000003,35.95151713610164,64355.256,309.9053553628269,8419.81266,40.545950659969854,8240.470650342,39.6823219109125,62984.489047200004,303.3043712935987
68,1972,209.896,56161.87200000003,267.56999656972994,7441.739999999976,35.454415520066966,63603.61200000001,303.0244120897969,8321.472570000002,39.645693915081765,8146.7216460300015,38.81313434286505,62267.93614800001,296.6608994359112
69,1973,211.909,54461.43599999999,257.0038837425498,6656.4360000000015,31.411766371414153,61117.87199999999,288.415650113964,7996.2549199999985,37.734380889910284,7830.732443155998,36.95327920548914,59852.73204959999,282.44544615660493
