,Year,Fluid Milk,Fluid Cream,Sour Cream,Yoghurt,Butter,American Cheese,Other Cheeses,Total,Cottage Cheese,Ice cream,Lowfat and non fat icecream,Sherbet,Frozen Yoghurt,Other Frozen Prodcuts,Total,Whole Milk/Evaporated_Condensed,Skim Milk/Evaporated_Condensed,Total/Evaporated_Condensed,Whole Milk/Dry,Nonfat Milk/Dry,Buttermilk/Dry,Total/Dry,Dried Whey,All Dairy
15,1919,262.0031766079186,11.09899152266682,*,*,15.286066455364876,2.864947698047838,1.3801243063685598,4.245072004416398,0.6,6.552439964592673,,,,,6.552439964592673,9.841714019207522,2.1034998048789775,11.9452138240865,0.1,,--,0.1,,733
16,1920,293.1214247470905,12.652520641361626,*,*,14.897474192427275,2.8179333276974665,1.2304975530945605,4.0484308807920275,0.6,7.238481697523037,,,,,7.238481697523037,8.604089760569599,1.596828885695231,10.20091864626483,0.1,0.24422088840044712,--,0.3442208884004471,,736
17,1921,286.1854834251599,12.401186681162358,*,*,16.261585804050195,2.856142549153292,1.3359376439587978,4.19208019311209,0.4,7.270697820118301,,,,,7.270697820118301,9.85829847610975,1.2990841917116587,11.157382667821409,--,0.19348062429748109,--,0.19348062429748109,,768
18,1922,288.053503439377,12.539868603985497,*,*,17.110559841525138,2.871448173086534,1.3812029186998518,4.252651091786386,0.5,7.813878363274541,,,,,7.813878363274541,10.88605984606857,1.3993766413143236,12.285436487382892,--,0.2180846713736608,--,0.2180846713736608,,783
19,1923,279.9896379536745,12.211135626680482,*,*,17.874529911475967,3.081815501978615,1.4024493733641812,4.484264875342796,0.6,8.613419743271368,,,,,8.613419743271368,11.451847749381404,1.80442530840487,13.256273057786274,0.1,0.36624474081484987,--,0.4662447408148499,,787
20,1924,281.7043353285017,12.233916693687615,*,*,17.851352654041314,3.251277287505806,1.3408232479471383,4.5921005354529445,0.8,8.412679981421272,,,,,8.412679981421272,11.830793364239456,1.7965278812363619,13.627321245475818,0.1,0.3855962281678045,--,0.48559622816780446,,796.4139550780394
21,1925,289.038151067522,12.613421509293874,*,*,18.07837415500436,3.280698270726675,1.4072468898117052,4.68794516053838,0.9,9.32478912880194,,,,,9.32478912880194,11.681012527087345,1.8993516304207065,13.580364157508052,0.1,0.4230374085937028,--,0.5230374085937028,,801.8112907821012
22,1926,288.5167423358348,12.640868165285314,*,*,18.313926250244894,3.2453980936480487,1.3714149424601991,4.616813036108248,1,9.135655084882918,,,,,9.135655084882918,11.823130062948797,2.495804833172909,14.318934896121707,0.1,0.5366406296583388,--,0.6366406296583388,,817.9680911777983
23,1927,285.5462679043979,12.525727727139078,*,*,18.288738606292267,3.1587348258915444,1.4029487125635318,4.5616835384550765,1,9.503360356197758,,,,,9.503360356197758,11.643634225227874,2.503465367328937,14.147099592556811,0.1,0.6636703490570001,--,0.763670349057,,812.8533624564204
24,1928,285.8126778912778,12.563377009186036,*,*,17.57545079620609,2.9873287472304972,1.42727929034346,4.414608037573958,1.2,9.483536499348597,,,,,9.483536499348597,12.214855322009145,2.696894007916421,14.911749329925566,0.1,0.7883228638524924,--,0.8883228638524924,,804.7614700976691
25,1929,287.6559330524691,12.655317122044561,*,*,17.58276051803855,3.2274754243760624,1.4782330187981967,4.7057084431742595,1.2,10.24552218581389,,,,,10.24552218581389,13.607956178603398,3.096076933816223,16.704033112419623,0.1,1.0922499527786675,--,1.1922499527786676,,811.8866359522696
26,1930,285.5610715243303,12.569367144145534,*,*,17.566646101893042,3.1658927817644575,1.5180050004870604,4.683897782251518,1.2,9.331067149397668,,,,,9.331067149397668,13.572750592590188,2.703185375198883,16.27593596778907,0.1,1.3069454817027633,--,1.4069454817027633,,818.9515212520699
27,1931,285.5207997420187,12.56046436633344,*,*,18.284480744911356,3.1252768850333066,1.401541695865452,4.526818580898759,1.2,8.20760940482807,,,,,8.20760940482807,13.419358996045075,2.4003415251029003,15.819700521147976,0.1,1.385432021200332,--,1.485432021200332,,837.2761762076215
28,1932,291.0685677667414,12.80839474527395,*,*,18.45552985618132,3.0252342955926017,1.400571433144723,4.425805728737325,1.3,6.048667856485446,,,,,6.048667856485446,13.973701270118209,2.2008979663702792,16.17459923648849,0.1,1.4325844944737454,--,1.5325844944737455,,831.1471080200722
29,1933,289.8096019238886,12.748946878060822,*,*,18.14782401145676,3.1585647227305276,1.3764022595274088,4.534966982257936,1.2,5.792537194685337,,,,,5.792537194685337,13.819715172249184,1.9969766886784948,15.81669186092768,0.1,1.4241387540774924,--,1.5241387540774924,,813.4457792982736
30,1934,280.08134584645575,12.30474622944593,*,*,18.539747796181366,3.41542475392339,1.4942483298414833,4.909673083764874,1.2,6.8151954777246315,,,,,6.8151954777246315,14.9741076016919,2.1978890777562556,17.171996679448156,0.1,1.486342254022216,--,1.586342254022216,,812.8869035854054
31,1935,284.1100196463654,12.526522593320236,*,*,17.540553697335156,3.784488308914747,1.5153656506650335,5.299853959579781,1.3,7.742521317190371,,,,,7.742521317190371,16.150814214600903,2.402600461676167,18.55341467627707,0.1,1.5703270991347498,--,1.6703270991347499,,799.0452411237261
32,1936,286.6937908522253,12.658820956947514,*,*,16.780958176328785,3.8851311816883936,1.544690710791771,5.429821892480165,1.4,9.078041987502047,,,,,9.078041987502047,15.883789329151744,2.800727096839625,18.68451642599137,0.1,1.763131821408789,--,1.863131821408789,,791.2561144007301
33,1937,288.7172520861634,12.8003104987386,*,*,16.733741208582437,3.9314211273175608,1.6206450012019136,5.552066128519474,1.5,10.15622164840533,,,,,10.15622164840533,16.70272407937283,3.0009072510293806,19.703631330402214,0.1,1.892044881785966,--,1.9920448817859662,0.1,795.8685183892804
34,1938,288.0801078374735,12.79414596572309,*,*,16.619347690603146,4.247166632043026,1.600381629465488,5.847548261508514,1.6,9.915033584931791,,,,,9.915033584931791,17.24257322900076,3.200763258930976,20.443336487931738,0.1,2.1158891735721594,--,2.2158891735721595,0.1,794.6895028814564
35,1939,292.9171760391198,13.027200488997556,*,*,17.3703330585829,4.266263699361969,1.6561345666575085,5.922398266019477,1.9,10.501373752175107,,,,,10.501373752175107,17.759562841530055,2.9993589156516167,20.75892175718167,0.1,2.1751076105870504,--,2.2751076105870505,0.1,823.0607198461398
36,1940,292.3291450050775,13.800263728268941,*,*,16.984302387187597,4.367175792070964,1.6197151117906177,5.986890903861582,1.9,10.83389594465721,0.35615945868212706,,,,11.190055403339336,19.307912384008716,3.2999803212182677,22.607892705226984,0.4,2.232784850365571,0.1,2.732784850365571,0.1,818.2210381314239
37,1941,296.20420519677583,13.333733971349373,*,*,16.38656092112562,4.385241600575704,1.544204734561701,5.9294463351374045,2,13.165237402737592,0.4197688190581851,,,,13.585006221795776,19.519947227178005,4.00293848667936,23.522885713857363,0.2,2.488718310070314,0.1,2.788718310070314,0.1,811.5770378255199
38,1942,318.6753285543608,13.933691756272403,*,*,16.43185525730387,5.042266053685303,1.6239062731721783,6.666172326857481,2,15.488462108853623,0.4662835533145484,,,,15.95474566216817,21.214592911167134,4.397152602699095,25.61174551386623,0.2,2.6101141924959212,0.2,3.0101141924959216,0.1,850.6599436452617
39,1943,353.0485306715334,14.495884390480091,*,*,13.097945721410863,3.8248049203226584,1.7697950109332377,5.594599931255896,2.1,13.547027548833908,0.3297852112418549,,,,13.876812760075763,22.59779580075911,5.097302159588705,27.695097960347812,0.4,2.2232135674533233,0.2,2.8232135674533234,0.1,783.8656125904095
40,1944,375.51266132370097,12.973623810061332,*,*,13.389018548089917,4.371482040795683,1.6691113246674423,6.040593365463125,2.2,14.465537547779217,0.2715015498890872,,,,14.737039097668303,23.33865618474389,5.90330715261169,29.24196333735558,0.3,2.146000274572426,0.2,2.646000274572426,0.2,811.7083462791824
41,1945,384.24377835312237,13.496274937538214,*,*,11.684580641472758,4.602366931564805,1.7723400606025956,6.3747069921674,2.6,15.34524183865988,0.3769724429706707,,,,15.722214281630551,22.697387227717112,7.696815505116917,30.394202732834028,0.4,3.5089474586930423,0.2,4.108947458693042,0.2,792.6933851695158
42,1946,362.02464763591183,12.780784554528967,*,*,10.679755850879488,4.462864862188713,2.1713146001456973,6.63417946233441,2.5,22.71718804150252,0.4868271223362496,,,,23.20401516383877,18.572873420138766,9.696652497719057,28.269525917857823,0.5,3.4797615090282834,0.2,4.179761509028284,0.2,785.3298347113283
43,1947,343.4672280858302,12.450678304030784,*,*,11.2956718426932,5.182964905707506,1.7068398484659255,6.889804754173431,2.3,19.702229299363058,0.48619957537154984,,,,20.18842887473461,20.759613116301015,6.799605900392712,27.559219016693728,0.5,3.7189681251127484,0.1,4.3189681251127485,0.2,769.6182506973065
44,1948,327.4489537486396,12.08134544434025,*,*,10.134282655100218,5.258096855371647,1.7458791115112084,7.003975966882856,2.5,17.69187961617939,0.5942058636986722,,,,18.28608547987806,20.72549460891626,5.1967182928575815,25.922212901773843,0.3,3.6622542300059333,0.2,4.162254230005933,0.1,728.6590148058732
45,1949,322.84666868462654,11.683987488648976,*,*,10.597367080462236,5.328846824141352,1.9438560742150846,7.272702898356437,2.7,16.832741239241763,0.8906011207335711,,,,17.723342359975334,19.807223101053705,5.3020350162211445,25.109258117274848,0.3,4.1223154677319895,0.2,4.6223154677319895,0.2,735.4545942032871
46,1950,320.26977882104006,11.220947531986642,*,*,10.864692386804146,5.498272724875399,2.19535349806176,7.693626222937159,3.1,16.445897391946414,1.0938200469396904,0.6731626275678384,,1.049378972073523,19.262259038527464,20.397668837847103,5.102713536035442,25.500382373882545,0.3,3.763719311199599,0.2,4.2637193111995995,0.2,744.1391313520214
47,1951,322.81651555671516,10.75598460635314,*,*,9.702696921970094,5.146253410851205,2.099982500145832,7.246235910997037,3.3,16.591290905909116,1.3359388671761068,0.7960100332497229,,1.1910789632308614,19.914318769565806,18.8026210892687,4.802737754963153,23.605358844231855,0.3,4.289246663685209,0.2,4.789246663685209,0.1,718.8032692320156
