,Year,US Population,Total Fish,Per Cap Fish,Total Shellfish,Per Cap Shellfish,Total both,Per cap both,Total Salmon,Per Cap Salmon,Total Sardines,Per Cap Sardines,Total Tuna,Per Cap Tuna,Total Canned Shellfish,Per Cap Canned Shellfish,Other Total,Other Per cap,Total Canned,Per Cap Canned,Total Cured,Per Cap Cured,Total fish and Shellfish,Total Per cap fish and shellfilsh
50,1954,162.391,,4.5,,1.7,1015,6.250346386191353,,1.1,,0.8,,1.4,,0.4,,0.6,686,4.224372040322432,107,0.6589035106625367,1808,11.133621937176322
51,1955,165.275,,4.2,,1.7,980,5.929511420360006,,1,,0.6,,1.4,,0.4,,0.5,633,3.829980335803963,109,0.6595068824686129,1722,10.418998638632582
52,1956,168.221,,4,,1.7,966,5.74244594907889,,1.1,,0.4,,1.6,,0.4,,0.5,662,3.9352993978159683,119,0.7074027618430517,1747,10.38514810873791
53,1957,171.274,,3.8,,1.7,956,5.581699499048309,,1,,0.4,,1.6,,0.4,,0.6,687,4.011116690215678,110,0.6422457582586966,1753,10.235061947522683
54,1958,174.141,,4.1,,1.6,996,5.719503161231416,,1.1,,0.6,,1.8,,0.4,,0.4,745,4.2781424248166715,104,0.5972171975583005,1845,10.594862783606388
55,1959,177.073,,4.1,,1.8,1053,5.9466999486087655,,0.9,,0.6,,1.9,,0.5,,0.5,780,4.404962924895382,102,0.5760336132555499,1935,10.927696486759697
56,1960,180.671,,3.8,,1.9,1033,5.71757503971307,,0.7,,0.4,,2,,0.4,,0.5,724,4.007283958133845,104,0.5756319497871822,1861,10.300490947634097
57,1961,183.691,,3.9,,2,1089,5.928434163894802,,0.8,,0.5,,2.1,,0.4,,0.5,788,4.289812783424337,96,0.5226167857978888,1973,10.740863733117028
58,1962,186.538,,3.9,,1.9,1093,5.859395940773461,,0.9,,0.3,,2.1,,0.4,,0.6,796,4.267227052932914,97,0.5200012866011214,1986,10.646624280307497
59,1963,189.242,,3.8,,2,1103,5.828515868570403,,0.9,,0.4,,2,,0.5,,0.6,793,4.190401707866119,98,0.5178554443516767,1994,10.536773020788198
60,1964,191.889,,3.8,,2.1,1140,5.940934602817253,,0.7,,0.3,,2,,0.5,,0.6,776,4.04400460682999,96,0.5002892297109266,2012,10.48522843935817
61,1965,194.303,,3.8,,2.2,1168,6.011229883223625,,0.8,,0.3,,2.3,,0.5,,0.5,839,4.317998178103272,104,0.5352464964514186,2111,10.864474557778317
62,1966,196.56,,3.9,,2.2,1202,6.115181115181115,158,0.8038258038258038,79,0.4019129019129019,452,2.2995522995522997,79,0.4019129019129019,77,0.39173789173789175,845,4.298941798941799,97,0.4934879934879935,2144,10.907610907610907
63,1967,198.712,,3.6,,2.2,1160,5.837594106042917,140,0.7045372196948347,80,0.402592696968477,479,2.410523773098756,100,0.5032408712105962,59,0.29691211401425177,858,4.317806674986916,95,0.47807882765006643,2113,10.633479608679899
64,1968,200.706,,4.1,,2.2,1258,6.267874403356153,140,0.6975376919474257,81,0.4035753789124391,481,2.396540213047941,100,0.49824120853387543,60,0.29894472512032527,862,4.294839217562006,93,0.4633643239365042,2213,11.026077944854665
65,1969,202.677,,4.4,,2.2,1335,6.5868352107047174,140,0.6907542543061127,81,0.39965067570567947,481,2.3732342594374303,100,0.49339589593293764,40,0.19735835837317506,842,4.154393443755335,88,0.4341883884209851,2265,11.175417042881037
66,1970,205.052,,4.5,,2.4,1406,6.856797300197023,142,0.692507266449486,81,0.3950217505803406,506,2.467666738193239,101,0.4925579852915358,81,0.3950217505803406,911,4.442775491094942,91,0.4437898679359382,2408,11.743362659227904
67,1971,207.661,,4.3,,2.4,1401,6.74657253889753,145,0.6982534033833989,83,0.3996898791780835,497,2.393323734355512,104,0.5008162341508516,62,0.2985635242053154,891,4.290646775273162,94,0.45266082702096205,2386,11.489880141191653
