,Year2,Apples and applesauce,Apricots,Cherries3,Olives,"Peaches4,5",Pears5,Pineapples,Plums,Total6
5,1970,4.567345785360732,1.6404299260727306,0.41844698772130356,1.01938199353443,8.133961903173429,3.3093122850737564,4.1647096929569605,0.2997316641239348,23.553320238017278
6,1971,4.2621032324934855,1.363904952873597,0.4107213778539809,1.0708784981546597,8.2052250733777,4.032140885182065,4.1799882315201184,0.3545377931475401,23.879500044603148
7,1972,3.7703798781334217,1.328757353398718,0.38579914511504565,0.8668514290364115,7.363211227425246,3.669399809493722,4.031699941159524,0.18236907480004022,21.598467858562127
8,1973,4.817407901035619,1.5361281607697228,0.24930682275991187,0.9649975116714459,6.98011706993388,4.0486290494584924,3.2798046137422427,0.28058866744081323,22.156979796812127
9,1974,4.646992387240997,0.8923036462344787,0.387447635864971,0.8368868934683373,8.07816579941014,3.751902015666974,3.012362322693997,0.27802303082674285,21.884083731406633
10,1975,3.841535753334791,1.3663175623804849,0.3270092966879766,1.0253337117493522,7.103675132949645,3.897250745588119,3.499003089760556,0.24505538986930683,21.305180682320234
11,1976,3.4414788825168703,1.1367373730394525,0.21013032394953485,1.1068149888297751,7.124807112093785,4.359105460742993,3.5308204127876945,0.3340380939220157,21.24393264788212
12,1977,3.9487680252213946,1.1119678436346547,0.2620240413726531,1.1958809922483449,7.3626579188699655,4.510468612412686,3.5068533456330733,0.23398227019924353,22.132603049592014
13,1978,4.4551304153478695,1.034599529522253,0.19752657902292076,1.8997367672489698,6.646559236399266,3.8358836357725634,3.34326381346904,0.2579410051608068,21.670640981943688
14,1979,4.787916570254395,0.9814843767449131,0.1910015254075253,0.9362249570053379,6.798829651799075,4.697920621803319,3.658080711294563,0.19002523842494362,22.241483652734072
15,1980,4.263042185726714,0.9443102481331502,0.30534384220004257,1.3628732043576757,6.891380475246301,4.631818804067988,3.48238229447688,0.17871415891296571,22.05986521312172
16,1981,3.5143374814905406,0.6966108580089718,0.22835318766232357,0.86360876573031,5.593416529438231,4.4134412523969475,3.192530398405703,0.20284182984838622,18.705140302981416
17,1982,4.3334272810254495,0.7789511024974368,0.3021450779807445,1.4728863932305747,5.280739930004283,4.091158822791437,3.202084600760811,0.18824867946893237,19.649641887759664
18,1983,4.143905559698615,0.6139326767300127,0.19632698955838102,1.0928245086189898,4.374983927790779,3.673549858135967,3.2384365416116996,0.15377289754073772,17.487732959685182
19,1984,4.0414856341738,0.7799307517471377,0.32522130795599447,1.2586868322110587,4.810077107717144,3.2028379038596344,2.9362070772741484,0.136916116150137,17.49136273108906
20,1985,4.250301101622114,0.803813566459481,0.28453153221155436,1.4059325888119665,4.771253389930433,3.239173278083784,3.309298667246552,0.17049876193845068,18.234802886304337
21,1986,3.9651148941319825,0.4275615720378237,0.18315099123884243,1.489747035111293,5.090094225456731,3.4679808711473137,3.579258021201944,0.16426443218521272,18.367172042511143
22,1987,4.3446820012904075,0.6399927207755682,0.2851239537845391,1.3436786553287232,4.785345597723589,3.919200608807862,3.0265692524641565,0.17469311451543526,18.519285904690282
23,1988,4.611656092072743,0.5199585213602699,0.24604752215169234,1.2329648620179439,4.955303896614901,3.5515880334944114,2.9771660944006832,0.17414470798955656,18.268829730102205
24,1989,4.313913399993503,0.7836766521541361,0.22819026781342217,1.4318669179283907,5.104620183247775,3.7512996296055623,3.244731868327845,0.16249025277795828,19.02078917184859
25,1990,4.453938928412002,0.7368323688263847,0.2605634363310572,1.3685408531362229,4.596173876674483,3.967602218298956,3.0433227694120393,0.1222236074302559,18.549198058521398
26,1991,4.1707656944130145,0.48211712301847237,0.2258259602992093,0.8949179995950597,4.832763637951638,3.4491383109226685,3.0982818836759893,0.08768544874925067,17.2414960586253
27,1992,4.699146598540833,0.5976631376021692,0.29795048034674193,1.702085308799674,5.174332129115174,3.72391404860235,3.5604398307821157,0.16519861763069424,19.92073015141975
28,1993,4.1426787640280045,0.5257558595788603,0.3321872032769779,1.3799651305285703,4.862052969123895,3.388953104040143,3.2496288685005488,0.10972286115223889,17.99094476022924
29,1994,4.322378292525553,0.7770837549013244,0.3508796141437001,1.0156842382568658,4.802038034659571,3.7465475967761024,3.1328755387703584,0.12999438757783896,18.277481457611312
30,1995,3.950645930487014,0.20030636422631715,0.3139614333554407,0.9504950121489262,3.623322919968006,2.9832669292645755,2.75564689637864,0.07163716213157062,14.849282647960491
31,1996,3.969703637129826,0.21303668455459793,0.227645951496541,1.6584014230787876,4.548914604085012,2.8403474161946063,2.7611900151362128,0.07052742671106951,16.289767158386653
32,1997,4.528784640330189,0.4897479363207548,0.30858989524946706,1.2324071344339622,4.923146373820755,3.470695754716981,2.71443242373355,0.10270857900943398,17.770512737615093
