,Year2,Apples and applesauce,Apricots,Cherries3,Olives,"Peaches4,5",Pears5,Pineapples,Plums,Total6
33,1998,3.531819966062937,0.42063646923452264,0.27663258865834633,1.1215939313830445,4.197156376308144,3.31045618004122,2.2671623746258214,0.0863826149017209,15.211840501215756
34,1999,3.916337431153029,0.34112453292055145,0.2974408143715317,1.471917954929983,4.3477126678426155,3.4104607365275923,3.0196656347045083,0.06455806904496202,16.869217841494773
35,2000,3.5236177075622113,0.3227473556460338,0.2723960029403783,0.9553268998063891,4.649613194721257,2.848593424349411,2.8016432081324334,0.06448418726154546,15.438421980419658
36,2001,3.6920661904388257,0.31062991028027637,0.26928187255199837,1.584017615613266,4.2498735719597915,3.012082787907577,2.5523444545189986,0.053594105576111425,15.723890508846845
37,2002,3.236208356108613,0.30149304941957733,0.033451950173027094,1.4036007932491914,4.656167192189231,2.616492221629139,2.6414574380878375,0.04225494299683013,14.931125943853447
38,2003,3.633314271854185,0.2881035864968766,0.20730873855386403,1.4932817865730923,4.048359270451352,2.6781150951934762,2.7726488379925667,0.039517748664803884,15.160649335780214
39,2004,3.6596184377328203,0.3004128499254377,0.14908454292896645,1.373637132433758,4.318277540146649,2.5271401509466944,2.6082462174836194,0.04077654242901814,14.977193414026964
40,2005,3.382340551825458,0.22051407276800628,0.17935358908023252,1.5718426208432872,4.045123697635534,2.304570848150572,2.7850377305445195,0.03401585583815029,14.52279896668576
41,2006,3.3982234136845735,0.14016391259650957,0.13765888541596277,0.8629714990790236,3.504439670034552,2.4070505878554482,2.79801802086252,0.03987823047454233,13.288404220003132
42,2007,3.1973947648602947,0.22653502643825577,0.12635068476724062,1.5427782460347992,4.2809818575383325,2.310061162510998,2.5428198634920354,0.030814229368992908,14.257735835010948
43,2008,3.71864741373931,0.20554894004582158,0.1349258093845229,1.0323413733234135,3.6058030908066088,2.2614984031856005,2.5502856728662127,0.02687217187453095,13.53592287522602
44,2009,3.3698614697560907,0.21325776571948535,0.15506642855320424,1.0151719552830738,3.9726386812606775,2.461519070980702,2.4272169769609824,0.026850306147899558,13.641582654662114
45,2010,3.203835465081249,0.18341046319414614,0.07814955298078466,1.84037456282559,3.6552500704716837,1.9577430881927282,2.2534124023230366,0.0195615812939114,13.19173718636313
46,2011,3.3598001224401743,0.15839035597331227,0.09084229626924321,0.916216588248899,3.1671302644854276,2.1687423239722796,2.323060097999091,0.019997342826587904,12.204179392215016
47,2012,2.5400426167974706,0.15739602475551037,0.011427718958105876,1.2966987155679266,3.1692212368758224,2.05136933157946,2.3102722483522626,0.012208933503518444,11.548636826390076
48,2013,3.879401180282709,0.14332929437141037,0.07345695245532452,1.3019678420390575,3.307508955939744,2.0264134330806582,2.3600314501884614,0.01881346719538274,13.110922575552749
49,2014,3.485796745788033,0.16658350890434012,0.045524796966482685,0.9366703880898469,3.0981631079349574,1.9820208689675296,2.1649456148201303,0.012342192837305093,11.892047224308625
50,2015,3.4624872353217477,0.09466081159623112,0.06758959256887326,1.2247392652690776,3.2692363532576256,2.0096603085511813,2.2852135818083714,0.019962425326856558,12.433549573699963
51,2016,3.673499339584936,0.13208645316215192,0.06950211207424797,1.094008711832398,3.003617608912152,1.5977946091362272,2.1724042886163644,0.007238639362362081,11.750151762680838
52,2017,3.5809450341200773,0.08366333965620489,0.037691218292848515,1.2440113033696611,2.753296198819029,1.6728848837107977,2.1215887095020967,0.0074845934778513,11.501565280948567
53,2018,3.266192719960188,0.06159056112718287,0.07490881885762853,0.8523243502441907,2.2443381314601383,1.65349785184115,2.0061490225788767,0.006839302162610511,10.165840758231965
54,2019,3.433861443107419,0.06716510927527314,0.08428453921617524,1.1254239794473884,2.4197042063416965,1.418718844176161,1.9675536744227566,0.0060838604604714535,10.52279565644734
