,Unnamed: ,Year,Fluid Milk,Fluid Cream,Sour Cream,Yoghurt,Butter,American Cheese,Other Cheeses,Total,Cottage Cheese,Ice cream,Lowfat and non fat icecream,Sherbet,Frozen Yoghurt,Other Frozen Prodcuts,Total.,Whole Milk/Evaporated_Condensed,Skim Milk/Evaporated_Condensed,Total/Evaporated_Condensed,Whole Milk/Dry,Nonfat Milk/Dry,Buttermilk/Dry,Total/Dry,Dried Whey,All Dairy
0,5,1909,294.087744502155,12.255497845065754,0.0,0.0,17.86937783180462,2.464360702840093,1.359266217261576,3.8236269201016686,0.6,1.558183224665709,0.0,0.0,0.0,0.0,1.558183224665709,5.481268648469444,0.5967510222123992,6.078019670681844,0.0,0.0,0.0,0.0,0.0,770.0
1,6,1910,277.6088391572067,11.535922603265988,0.0,0.0,18.407696386637376,2.759531204345991,1.5150367396409363,4.274567943986927,0.6,1.9370826885409116,0.0,0.0,0.0,0.0,1.9370826885409116,5.8004263746253,0.7034099148332918,6.503836289458591,0.0,0.0,0.0,0.0,0.0,759.0
2,7,1911,269.2541256938304,11.18651651875606,0.0,0.0,18.6868094989506,2.524956585662082,1.470227885322225,3.9951844709843063,0.7,2.3012262552869607,0.0,0.0,0.0,0.0,2.3012262552869607,6.392295153574891,0.7990368941968614,7.191332047771753,0.0,0.0,0.0,0.0,0.0,749.0
3,8,1912,296.5752346986941,12.513767241831438,0.0,0.0,16.625583468820476,2.433523889442492,1.4265484869145646,3.860072376357057,0.7,2.6642890858551427,0.0,0.0,0.0,0.0,2.6642890858551427,7.069806471914827,0.7971888603346096,7.866995332249436,0.0,0.0,0.0,0.0,0.0,763.0
4,9,1913,285.1632810491129,12.013371046541527,0.0,0.0,16.5183851889946,2.653638467472358,1.5736693237336077,4.227307791205966,0.7,2.9930573412188224,0.0,0.0,0.0,0.0,2.9930573412188224,7.971200822833634,0.9051169966572384,8.876317819490872,0.0,0.0,0.0,0.0,0.0,754.0
5,10,1914,268.05299109079715,11.29037140176166,0.0,0.0,17.001140135807326,2.6535904188233395,1.5538134011360998,4.207403819959439,0.7,3.41031772457144,0.0,0.0,0.0,0.0,3.41031772457144,8.919292510417613,0.9988800435874928,9.918172554005103,0.0,0.0,0.0,0.0,0.0,747.0
6,11,1915,250.0049728482485,10.462872714976228,0.0,0.0,17.2259463330217,2.556043999761303,1.5714200465458594,4.127464046307162,0.7,3.8688759373818944,0.0,0.0,0.0,0.0,3.8688759373818944,9.53792294074354,1.203429276152209,10.741352216895748,0.0,0.0,0.0,0.0,0.0,751.0
7,12,1916,240.79795215817813,10.06267102127284,0.0,0.0,17.320347976186973,2.4421102186129997,1.402497033179353,3.844607251792352,0.7,4.315375486705701,0.0,0.0,0.0,0.0,4.315375486705701,9.63113347260227,1.402497033179353,11.033630505781623,0.0,0.0,0.0,0.0,0.0,747.0
8,13,1917,256.02316303211063,10.797149165278691,0.0,0.0,15.752219235306631,2.4658170073684413,1.2570831802270486,3.72290018759549,0.7,4.834935308565571,0.0,0.0,0.0,0.0,4.834935308565571,9.466803334171388,1.5955286518266385,11.062331985998028,0.0,0.0,0.0,0.0,0.0,729.0
9,14,1918,293.0586776218898,12.557166111154174,0.0,0.0,14.17503586800574,2.812051649928264,1.1382113821138211,3.950263032042085,0.6,6.15116212338594,0.0,0.0,0.0,0.0,6.15116212338594,10.3012912482066,1.7981826877092302,12.09947393591583,0.0,0.0,0.0,0.0,0.0,725.0
10,15,1919,262.0031766079186,11.09899152266682,0.0,0.0,15.286066455364876,2.864947698047838,1.3801243063685598,4.245072004416398,0.6,6.552439964592673,0.0,0.0,0.0,0.0,6.552439964592673,9.841714019207522,2.103499804878977,11.9452138240865,0.1,0.0,0.0,0.1,0.0,733.0
11,16,1920,293.1214247470905,12.652520641361626,0.0,0.0,14.897474192427277,2.8179333276974665,1.2304975530945603,4.048430880792028,0.6,7.238481697523037,0.0,0.0,0.0,0.0,7.238481697523037,8.604089760569599,1.596828885695231,10.20091864626483,0.1,0.2442208884004471,0.0,0.3442208884004471,0.0,736.0
12,17,1921,286.1854834251599,12.401186681162358,0.0,0.0,16.261585804050195,2.856142549153292,1.3359376439587978,4.19208019311209,0.4,7.270697820118301,0.0,0.0,0.0,0.0,7.270697820118301,9.85829847610975,1.299084191711659,11.157382667821407,0.0,0.193480624297481,0.0,0.193480624297481,0.0,768.0
13,18,1922,288.053503439377,12.539868603985497,0.0,0.0,17.110559841525138,2.871448173086534,1.3812029186998518,4.252651091786386,0.5,7.813878363274541,0.0,0.0,0.0,0.0,7.813878363274541,10.88605984606857,1.3993766413143236,12.285436487382892,0.0,0.2180846713736608,0.0,0.2180846713736608,0.0,783.0
14,19,1923,279.9896379536745,12.211135626680482,0.0,0.0,17.874529911475967,3.081815501978615,1.4024493733641812,4.484264875342796,0.6,8.613419743271368,0.0,0.0,0.0,0.0,8.613419743271368,11.451847749381404,1.80442530840487,13.256273057786274,0.1,0.3662447408148498,0.0,0.4662447408148499,0.0,787.0
15,20,1924,281.7043353285017,12.233916693687616,0.0,0.0,17.851352654041314,3.251277287505806,1.3408232479471385,4.5921005354529445,0.8,8.412679981421272,0.0,0.0,0.0,0.0,8.412679981421272,11.830793364239456,1.796527881236362,13.627321245475818,0.1,0.3855962281678045,0.0,0.4855962281678044,0.0,796.4139550780394
16,21,1925,289.038151067522,12.613421509293874,0.0,0.0,18.07837415500436,3.280698270726675,1.4072468898117052,4.68794516053838,0.9,9.32478912880194,0.0,0.0,0.0,0.0,9.32478912880194,11.681012527087343,1.8993516304207063,13.580364157508052,0.1,0.4230374085937028,0.0,0.5230374085937028,0.0,801.8112907821012
