,Unnamed: ,Year,US Population,Beef,Veal,Pork,Lamb,Total,Chicken,Turkey,Total.,Total_Availability
0,5,1909,90.49,74.18499281688585,7.293623604818213,67.02398055033706,6.696872582605813,155.19946955464692,15.250303900983535,1.0,16.250303900983535,171.44977345563046
1,6,1910,92.407,70.42756501130867,7.218067895289318,62.28965338123736,6.449727834471415,146.3850141223068,16.04856774919649,1.0,17.04856774919649,163.43358187150326
2,7,1911,93.863,68.46148109478709,7.095447620468129,69.05809530912074,7.351139426611125,151.9661634509871,16.215122039568307,1.1,17.31512203956831,169.2812854905554
3,8,1912,95.335,64.54082970577439,6.943934546598836,66.68065243614623,7.646719462946453,145.81213615146592,15.482246813866892,1.1,16.58224681386689,162.39438296533282
4,9,1913,97.225,63.32733350475701,6.263821033684752,66.8655181280535,7.210079712008229,143.66675237850347,15.098997171509389,1.1,16.198997171509387,159.86574955001285
5,10,1914,99.111,61.9911008868844,5.7713069185055135,65.10881738656657,7.143505766262069,140.01473095821856,15.013469746042317,1.1,16.113469746042316,156.12820070426088
6,11,1915,100.546,56.37220774570843,5.877906629801284,66.53670956577089,6.086766256240924,134.87359019752154,14.948381835179916,1.2,16.148381835179915,151.02197203270146
7,12,1916,101.961,58.87545237885074,6.433832543815773,69.01658477260914,5.835564578613392,140.16143427388903,14.064201018036307,1.2,15.264201018036308,155.42563529192535
8,13,1917,103.414,64.66242481675594,7.204053609762702,58.918521670180056,4.477150095731719,135.26215019243045,13.692536793857698,1.2,14.892536793857698,150.1546869862881
9,14,1918,104.55,68.55093256814921,7.278813964610235,61.06169296987088,4.772835963653755,141.66427546628407,13.7350549976088,1.2,14.9350549976088,156.59933046389287
10,15,1919,105.063,61.50595357071471,7.842913299639264,63.8854782368674,5.691823001437233,138.9261681086586,14.82919771946356,1.3,16.12919771946356,155.05536582812215
11,16,1920,106.461,59.110848104000524,8.002930650660806,63.5537896506702,5.429218211363786,136.09678661669528,14.239956415964532,1.3,15.539956415964532,151.6367430326598
12,17,1921,108.538,55.501299084191714,7.591811162910686,64.76072896128545,6.0992463469015465,133.9530855552894,13.838471318800789,1.3,15.13847131880079,149.09155687409017
13,18,1922,110.049,59.09185908095484,7.796527001608374,65.75252841915874,5.134076638588265,137.77499114031022,14.71162845641487,1.3,16.01162845641487,153.78661959672507
14,19,1923,111.947,59.59069917014301,8.209241873386514,74.23155600418055,5.288216745424174,147.31971379313424,15.141093553199282,1.3,16.44109355319928,163.76080734633354
15,20,1924,114.109,59.46945464424366,8.561988975453295,74.06076646013899,5.223076181545715,147.31528626138166,14.179424935806992,1.3,15.479424935806993,162.79471119718866
16,21,1925,115.829,59.46697286517194,8.572982586398917,66.77084322578975,5.223216983656942,140.03401566101755,14.832209550285334,1.3,16.132209550285335,156.16622521130287
17,22,1926,117.397,60.25707641592204,8.16886291813249,64.13281429678781,5.426033033212092,137.98478666405444,14.71076773682462,1.3,16.01076773682462,153.99555440087906
18,23,1927,119.035,54.47137396564036,7.350779182593355,67.69437560381401,5.300961901961608,134.81749065400933,15.802075019952117,1.4,17.202075019952115,152.01956567396144
19,24,1928,120.509,48.726651121493,6.480843754408385,70.90756706967944,5.493365640740525,131.60842758632137,15.160693392194776,1.4,16.560693392194775,148.16912097851613
20,25,1929,121.767,49.66862943161941,6.290702735552325,69.674049619355,5.633710282753127,131.26709206927987,14.815179810621926,1.4453833961582367,16.260563206780162,147.52765527606005
21,26,1930,123.188,48.876513946163584,6.445432996720459,66.93833814981978,6.688963210702341,128.94924830340616,16.29217131538786,1.4936519790888725,17.785823294476735,146.7350715978829
22,27,1931,124.149,48.53039492867442,6.637185962029497,68.2808560681117,7.136585876648221,130.58502283546383,14.595365246598844,1.4176513705305722,16.013016617129416,146.59803945259324
23,28,1932,124.949,46.65903688704992,6.578684103114071,70.62881655715532,7.058880023049404,130.9254175703687,14.918086579324363,1.71269878110269,16.630785360427055,147.5562029307957
24,29,1933,125.69,51.46789720741507,7.0888694406874055,70.68979234624871,6.754713978836821,136.001272973188,15.259766091176704,1.9253719468533692,17.185138038030075,153.18641101121807
25,30,1934,126.485,63.77040755820848,9.34498161837372,64.36336324465351,6.309048503775151,143.78780092501086,14.009566351741311,1.8263035142507016,15.835869865992017,159.6236707910029
26,31,1935,127.362,53.15557230571128,8.534727783797365,48.32681647587193,7.2470595625068706,117.26417612788744,13.599032678506934,1.7430630800395723,15.342095758546506,132.60627188643394
27,32,1936,128.181,60.39896708560551,8.38657835404623,55.08616721667017,6.623446532637442,130.49515918895935,14.050444293616057,2.1922125744065037,16.24265686802256,146.7378160569819
28,33,1937,128.961,55.10968432316746,8.591744791060863,55.71451834275478,6.645419933158086,126.0613673901412,14.174828048789944,2.279758996906041,16.454587045695984,142.51595443583716
29,34,1938,129.969,54.30525740753565,7.6479775946571875,58.121552062414885,6.8785633497218575,126.95335041432958,13.110818733698036,2.2774661650085792,15.388284898706615,142.3416353130362
30,35,1939,131.028,54.63717678664103,7.563268919620234,64.67319962145496,6.632170223158409,133.50581555087462,14.592300882254175,2.434594132551821,17.026895014805998,150.53271056568062
31,36,1940,132.122,54.926507318993046,7.424955722741102,73.42456214710646,6.607529404641165,142.38355459348176,14.56986724391093,2.898835924372928,17.468703168283856,159.85225776176563
32,37,1941,133.402,61.89562375376681,7.728519812296668,68.81456050134182,6.851471492181528,145.29017555958683,16.101707620575404,2.9384866793601296,19.04019429993553,164.33036985952236
33,38,1942,134.86,66.68396855998813,8.519946611300607,68.75278066142666,7.4076820406347315,151.36437787335015,18.634139107222303,3.084680409313361,21.718819516535664,173.0831973898858
34,39,1943,136.739,62.374304331609856,8.337050877949963,84.12376863952493,7.035300828585846,161.8704246776706,23.32911605321086,2.874088592135382,26.203204645346243,188.07362932301683
35,40,1944,138.397,67.57371908350615,12.31963120587874,87.23454988186161,7.04495039632362,174.17285056757012,22.3632015144837,3.092552584232317,25.45575409871601,199.62860466628612
36,41,1945,139.928,69.61437310616888,11.763192498999484,70.64347378651878,7.403807672517295,159.42484706420447,22.03275970499114,3.4589217311760336,25.491681436167173,184.91652850037164
37,42,1946,141.389,64.21998882515612,10.135159029344573,76.29306381684572,6.740269752243809,157.38848142359024,20.333972232634785,3.8121777507444,24.146149983379185,181.53463140696945
38,43,1947,144.126,71.47912243453645,10.955691547673563,70.41755130927105,5.439684720314169,158.29205001179523,18.33118243758933,3.691214631641758,22.02239706923109,180.31444708102637
39,44,1948,146.631,64.12013830636087,9.711452557781096,68.33479959899338,5.033042126153405,147.1994325892888,18.413568754219774,3.130306688217362,21.54387544243714,168.74330803172592
40,45,1949,149.188,64.93149583076388,9.008767461189908,68.1958334450492,4.129018419712041,146.26511515671504,19.699975869372874,3.3246641821058,23.024640051478677,169.28975520819372
41,46,1950,151.684,64.77281717254291,8.17488990269244,69.96123519949369,3.968777194694233,146.87771946942328,20.84596925186572,4.166556789114211,25.01252604097993,171.89024551040322
42,47,1951,154.287,59.75876126958201,6.909201682578571,73.53827606992164,3.3897865665934264,143.59602558867564,21.91370627466993,4.575887793527646,26.489594068197576,170.08561965687323
43,48,1952,156.954,63.75116276106375,7.397071753507396,73.2953604240733,4.109484307504109,148.55307924614854,22.22944302152223,4.81032659250481,27.03976961402704,175.5928488601756
44,49,1953,159.565,79.1714975088522,9.695108576442202,63.91125873468493,4.637608498104221,157.41547331808354,22.016106288973145,4.907091154075142,26.923197443048288,184.33867076113185
