,Unnamed: ,Year,"U.S. total population, July ",Butter,Margarine,Lard,Edible tallow,Shortening,Salad and cooking oils ,Other edible fats and oils,Total
0,5,1910,92.407,18.407696386637376,1.5583235036306773,8.213663467053362,0.0,8.0,0.0,1.5,37.679683357321416
1,6,1911,93.863,18.6868094989506,1.0866901761077314,5.635873560401862,0.0,8.0,0.0,1.5,34.909373235460194
2,7,1912,95.335,16.625583468820476,1.4580164682435623,11.213090680232863,0.0,8.328525725074737,0.0,1.2,38.82521634237165
3,8,1913,97.225,16.5183851889946,1.5428130624839291,10.68655181280535,0.0,9.54487014656724,0.0,1.9,40.19262021085112
4,9,1914,99.111,17.001140135807326,1.4024679399864797,10.634541070113308,0.0,10.755617439033005,0.0,3.8,43.59376658494011
5,10,1915,100.546,17.2259463330217,1.3824518131004713,11.507170847174429,0.0,9.97553358661707,0.0,3.1,43.19110257991367
6,11,1916,101.961,17.320347976186973,1.794803895607144,11.58286011318053,0.0,9.503633742313236,0.0,2.0,42.20164572728788
7,12,1917,103.414,15.752219235306631,2.7462432552652447,10.037325700582128,0.0,10.781905738101225,0.0,0.9,40.217693929255226
8,13,1918,104.55,14.17503586800574,3.318986131037781,11.850789096126256,0.0,10.47345767575323,0.0,3.7,43.51826877092301
9,14,1919,105.063,15.286066455364876,3.369406927272208,10.67930670169327,0.0,11.650152765483568,0.0,2.4,43.38493284981392
10,15,1920,106.461,14.897474192427277,3.41909243760626,11.966823531621907,0.0,7.570847540413861,0.0,1.8,39.6542377020693
11,16,1921,108.538,16.261585804050195,1.9808730582837348,10.788848145350016,0.0,6.965302474709318,0.0,3.5,39.49660948239327
12,17,1922,110.049,17.110559841525138,1.6719824805313996,13.30316495379331,0.0,6.678843060818362,0.0,4.4,43.164550336668206
13,18,1923,111.947,17.874529911475967,2.018812473759904,14.337141683117904,0.0,6.556674140441459,0.0,3.9,44.68715820879523
14,19,1924,114.109,17.851352654041314,2.015616647240796,14.240769790288232,0.0,7.0196040627820775,0.0,4.3,45.42734315435242
15,20,1925,115.829,18.07837415500436,2.002952628443654,12.26808484921738,0.0,9.67805989864369,0.0,4.8,46.82747153130908
16,21,1926,117.397,18.313926250244894,2.0443452558412907,12.214962903651712,0.0,9.514723544894672,0.0,5.6,47.687957954632566
17,22,1927,119.035,18.288738606292267,2.318645776452304,12.67694375603814,0.0,9.703028521023228,0.0,4.9,47.88735665980594
18,23,1928,120.509,17.57545079620609,2.6056145184177115,13.202333435677003,0.0,9.335402335095305,0.0,5.0,47.71880108539611
19,24,1929,121.767,17.58276051803855,2.8989791979764634,12.745653584304453,0.0,9.887736414627938,0.0,5.6,48.7151297149474
20,25,1930,123.188,17.566646101893042,2.6220086372049227,12.655453453258437,0.0,9.757443906874046,0.0,6.2,48.80155209923045
21,26,1931,124.149,18.28448074491136,1.852612586488816,13.588510580028837,0.0,9.36777581776736,0.0,5.1,48.19337972919637
22,27,1932,124.949,18.45552985618132,1.6166595971156232,14.397874332727753,0.0,7.491056350991204,0.0,4.8,46.76112013701589
23,28,1933,125.69,18.14782401145676,1.9333280292783837,13.986792903174477,0.0,7.518497891638157,0.0,5.3,46.88644283554777
24,29,1934,126.485,18.539747796181366,2.079297940467249,12.95015219195952,0.0,9.45566667984346,0.0,5.4,48.42486460845159
25,30,1935,127.362,17.540553697335156,2.983621488356025,9.578995304721976,0.0,12.044408850363531,0.0,5.9,48.047579340776686
