,Unnamed: ,Year,US Population,Shell Total,Shell Per Capita,Processed Total,Processed Per Capita,Total Farm Weight Count,Total Farm Weight Count Per Capita,Total Farm Weight Pounds,Total Farm Weight Pounds Per Capita,Total Retail Weight Count,Total Retail Weight Count Per Capita,Total Retai Weight Pounds,Total Retail Weight Pounds Per Capita
0,5,1909,90.49,0.0,0.0,0.0,0.0,26496.0,292.80583489888386,3466.56,38.30876339927064,3362.5632,37.15950049729252,25701.12,284.0216598519173
1,6,1910,92.407,0.0,0.0,0.0,0.0,28272.0,305.9508478794897,3698.92,40.028569264233234,3587.9524,38.82771218630624,27423.84,296.772322443105
2,7,1911,93.863,0.0,0.0,0.0,0.0,30900.0,329.2032004091069,4042.75,43.07075205352482,3921.4675,41.77862949191907,29973.0,319.3271043968337
3,8,1912,95.335,0.0,0.0,0.0,0.0,29688.0,311.4071432317617,3884.18,40.74243457282216,3767.6546,39.52016153563749,28797.36,302.06492893480885
4,9,1913,97.225,0.0,0.0,0.0,0.0,29484.0,303.2553355618411,3857.49,39.675906402674215,3741.7653,38.485629210593984,28599.48,294.1576754949859
5,10,1914,99.111,0.0,0.0,0.0,0.0,29268.0,295.3052637951388,3829.23,38.635772013197325,3714.3531,37.4766988528014,28389.96,286.4461058812846
6,11,1915,100.546,0.0,0.0,0.0,0.0,31464.0,312.9313945855628,4116.54,40.9418574582778,3993.0438,39.71360173452947,30520.08,303.5434527479959
7,12,1916,101.961,0.0,0.0,0.0,0.0,30504.0,299.17321328743344,3990.94,39.14182873843921,3871.2118,37.96757387628603,29588.88,290.1980168888104
8,13,1917,103.414,0.0,0.0,0.0,0.0,29088.0,281.2771965111107,3805.68,36.80043321020365,3691.5096,35.69642021389754,28215.36,272.8388806157774
9,14,1918,104.55,0.0,0.0,0.0,0.0,29724.0,284.3041606886657,3888.89,37.19646102343377,3772.2233,36.080567192730754,28832.28,275.7750358680057
10,15,1919,105.063,0.0,0.0,0.0,0.0,31848.0,303.1324062705234,4166.78,39.659823153726805,4041.7766,38.47002845911501,30892.56,294.03843408240766
11,16,1920,106.461,0.0,0.0,0.0,0.0,31884.0,299.4899540676868,4171.49,39.18326899052235,4046.3453,38.00777092080668,30927.48,290.50525544565613
12,17,1921,108.538,0.0,0.0,0.0,0.0,32508.0,299.5080064125007,4253.13,39.18563083896884,4125.5361,38.01006191379978,31532.76,290.5227662201257
13,18,1922,110.049,0.0,0.0,0.0,0.0,34764.0,315.89564648474766,4548.29,41.32968041508782,4411.8413,40.08979000263519,33721.08,306.41877709020525
14,19,1923,111.947,0.0,0.0,0.0,0.0,36552.0,326.5116528357169,4782.22,42.718607912672965,4638.7534000000005,41.437049675292776,35455.44,316.7163032506454
15,20,1924,114.109,0.0,0.0,0.0,0.0,36996.0,324.21631948400216,4840.31,42.41830179915695,4695.1007,41.14575274518224,35886.12,314.4898298994821
16,21,1925,115.829,0.0,0.0,0.0,0.0,36840.0,318.0550639304492,4819.900000000001,41.61220419756711,4675.303000000001,40.363838071640096,35734.8,308.5134120125357
17,22,1926,117.397,0.0,0.0,0.0,0.0,39744.0,338.5435743673177,5199.84,44.2927843130574,5043.8448,42.96400078366568,38551.68,328.3872671362982
18,23,1927,119.035,0.0,0.0,0.0,0.0,40704.0,341.9498466837485,5325.4400000000005,44.738438274457096,5165.6768,43.39628512622338,39482.88,331.69135128323603
19,24,1928,120.509,0.0,0.0,0.0,0.0,40764.0,338.2651918114,5333.29,44.25636259532483,5173.2913,42.928671717465086,39541.08,328.117236057058
