,Year,Total,Fresh,Processed
4,1971,1.8091220306172078,0.304823727132201,1.5042983034850068
5,1972,1.800132684758166,0.28299729389793044,1.5171353908602356
6,1973,1.7308022783364558,0.296353623489328,1.4344486548471278
7,1974,1.7247394951696018,0.2838385066447202,1.4409009885248816
8,1975,1.731958670759771,0.29124010871729333,1.4407185620424776
9,1976,1.8890101130552437,0.31416974338982273,1.574840369665421
10,1977,1.792310444562498,0.3795876298021695,1.4127228147603286
11,1978,1.7323167224918155,0.33862600902208145,1.393690713469734
12,1979,1.6136783351993436,0.39893808023647553,1.214740254962868
13,1980,1.8067497749372678,0.444245667901162,1.362504107036106
14,1981,1.7925975619090586,0.526848700545124,1.2657488613639345
15,1982,1.6757271655929222,0.5499768708349269,1.1257502947579954
16,1983,1.313078083096344,0.5129424615431891,0.8001356215531548
17,1984,1.36316985579046,0.5302667221278792,0.8329031336625807
18,1985,1.723037568292758,0.6736935333641693,1.0493440349285885
19,1986,1.4836156202767188,0.5847602511103631,0.8988553691663558
20,1987,1.3575153589682665,0.5832225904578178,0.7742927685104486
21,1988,1.5232961322495044,0.595665887114982,0.9276302451345224
22,1989,1.4131079193216638,0.6417050293254684,0.7714028899961956
23,1990,1.3211155238354149,0.7558959509379048,0.56521957289751
24,1991,1.7982879393277131,0.8038893026631898,0.9943986366645234
25,1992,1.626910894999494,0.8169343620325893,0.8099765329669046
26,1993,1.6686664130948492,0.6648434535359551,1.0038229595588941
27,1994,1.712040017043988,0.7524631827085138,0.9595768343354742
28,1995,1.6583816933713988,0.6710579988520279,0.9873236945193711
29,1996,1.7684160708948446,0.628001190356996,1.1404148805378487
30,1997,1.9252051529430738,1.1074073840651935,0.8177977688778802
31,1998,1.7468996838273907,0.9698582076308784,0.7770414761965123
32,1999,1.8234044701480512,0.9716335093718109,0.8517709607762401
33,2000,2.4477850782796535,1.3747403828107017,1.0730446954689519
34,2001,1.9186483014404816,1.0729158933458043,0.8457324080946772
35,2002,2.2051589187238094,1.4314035317521137,0.7737553869716958
36,2003,2.4990857868626573,1.6067355789327482,0.8923502079299089
37,2004,2.8548330932549515,1.8452428675167551,1.0095902257381963
38,2005,3.0500634107159126,2.329189036264942,0.7208743744509704
39,2006,2.48488426341739,1.962141792448105,0.5227424709692852
40,2007,2.423655616095867,1.6144363054734816,0.8092193106223851
41,2008,2.558338008888876,1.7077717345830503,0.8505662743058255
42,2009,2.8040261195352847,2.0259684277427987,0.7780576917924861
43,2010,2.4149381645967902,1.6801952629711325,0.7347429016256577
44,2011,2.5387625669243192,1.7891967837667992,0.7495657831575201
45,2012,2.2862526555783846,1.5553975442401984,0.730855111338186
46,2013,2.4561610580973534,1.5918449092706135,0.8643161488267397
47,2014,2.600953864789215,1.6716531839682502,0.9293006808209646
48,2015,2.609464231920915,1.727168874563285,0.8822953573576301
49,2016,2.827332823167451,1.97293175988622,0.854401063281231
50,2017,2.700062875303899,1.8561999528653268,0.8438629224385722
51,2018,2.7691946110081136,1.870084883038863,0.8991097279692506
52,2019,3.1428155589094917,2.43211670166689,0.7106988572426015
