,Year,Fresh,Processed1,Total
3,1970,0.1746390710771208,0.1471677565256636,0.3218068276027844
4,1971,0.16806641287185303,0.2034233239371131,0.37148973680896613
5,1972,0.2096526371716998,0.2680490338268308,0.4777016709985306
6,1973,0.2128113372988601,0.2464630186980117,0.45927435599687183
7,1974,0.19959423665771234,0.23481674900907332,0.43441098566678565
8,1975,0.21820956493014035,0.2512434223076243,0.46945298723776463
9,1976,0.24597526428522076,0.20267624772565004,0.44865151201087083
10,1977,0.23451151798301845,0.19162419757367263,0.42613571555669105
11,1978,0.21988739237031385,0.045151415271111675,0.2650388076414255
12,1979,0.2707613963772809,0.09827351305474281,0.3690349094320237
13,1980,0.3588811707610035,0.18547058745600595,0.5443517582170094
14,1981,0.41907599033795323,0.1921926119412764,0.6112686022792296
15,1982,0.38334984447799547,0.25956384621707324,0.6429136906950688
16,1983,0.5156007577510907,0.27429903738181566,0.7898997951329063
17,1984,0.45255645007116,0.2294113898506702,0.6819678399218302
18,1985,0.5567865986153924,0.28867446295257077,0.8454610615679632
19,1986,0.5805715287224897,0.3903330505969311,0.9709045793194209
20,1987,0.5070931078979585,0.3810516171894183,0.8881447250873769
21,1988,0.5574901324283448,0.19044957987453295,0.7479397123028777
22,1989,0.6923853889141595,0.24592155709307062,0.9383069460072301
23,1990,0.6605431534752412,0.5737258867089383,1.2342690401841794
24,1991,0.7532008146445458,0.4730586773539215,1.2262594919984673
25,1992,1.0230825895131146,0.3873288927259582,1.4104114822390728
26,1993,0.9527947765377167,0.1947407330900551,1.1475355096277717
27,1994,0.9700938076275489,0.23307144144608094,1.20316524907363
28,1995,1.1831809058118652,0.509009452197877,1.6921903580097422
29,1996,1.1407527848115426,0.2822510227233662,1.4230038075349087
30,1997,1.1485959610849055,0.48758187012635074,1.6361778312112563
31,1998,1.4002971313713928,0.22884596348501487,1.6291430948564076
32,1999,1.3319890600813564,0.21659226881832574,1.5485813288996821
33,2000,1.394116538286227,0.4999209522296716,1.8940374905158985
34,2001,1.5015298421891639,0.551145020531049,2.0526748627202127
35,2002,1.1005327072069446,0.35225046492630846,1.4527831721332531
36,2003,1.7695265422240458,0.3123104056257458,2.0818369478497916
37,2004,1.850104174383485,0.6921681699977151,2.5422723443812
38,2005,2.0911024192689878,0.679702019693384,2.770804438962372
39,2006,2.2550303596826087,0.8178674533733894,3.072897813055998
40,2007,2.2701013265327736,0.5781452516169144,2.848246578149688
41,2008,2.480724209143628,0.7387867103072314,3.2195109194508595
42,2009,2.5486169795412636,1.0699420728154387,3.6185590523567024
43,2010,2.5707868269656338,0.9527096821716515,3.5234965091372854
44,2011,2.5043742549895054,1.0450677716389472,3.5494420266284523
45,2012,2.5681757946176833,1.1722105371685099,3.740386331786193
46,2013,2.9626582497520038,1.0301622178822851,3.9928204676342887
47,2014,3.0680264551933902,0.9543510831281753,4.022377538321566
48,2015,3.0165926606074263,0.9628211199218645,3.9794137805292906
49,2016,3.4773004172552593,0.8680124530007739,4.345312870256033
50,2017,3.751354808567829,0.9808930533957415,4.732247861963571
51,2018,4.056464019677164,1.0758270999101616,5.132291119587325
52,2019,4.1032488418992745,1.0602561307316474,5.163504972630922
53,2020,4.273756982156435,0.8340760405165214,5.107833022672956
