,Year,Total,Fresh,Processed,,,,,
24,1991,44.122920187910665,18.333527863463665,25.789392324447004,5.213457118016268,18.351178495289588,1.0299605906277494,0.7997808558531733,0.3950152646602273
25,1992,47.076272988988485,19.37294584152907,27.703327147459415,5.873933248176041,18.961263880508124,1.0446877311264566,1.2145415220168172,0.6089007656319795
26,1993,48.84912165936058,19.22418132125144,29.62494033810914,5.178348455035006,21.5738270211343,1.0825306334172253,1.461641648529645,0.32859257999296426
27,1994,49.6321341281258,19.582405247423825,30.049728880701977,5.402972865656941,21.505839591629474,1.0805084346862235,1.5514720199756415,0.5089359687536987
28,1995,45.64352505009608,18.88884487104028,26.7546801790558,4.938307413108768,19.10016450098852,1.198120702138754,1.2234195077043812,0.2946680551153771
29,1996,46.9246555624826,18.8769238227715,28.0477317397111,4.9621295464122825,20.559968077687568,1.0469896205319895,1.250041953973694,0.2286025411055711
30,1997,45.60390293070444,18.284784050707547,27.319118879996896,5.6609808004127355,18.678685141509433,1.3584476314709504,0.9580483490566037,0.6629569575471698
31,1998,47.83838057217882,19.18563854569487,28.65274202648395,4.414774957578671,21.75340027528348,0.9451831664342756,1.1930944921456819,0.3462891350418387
32,1999,47.605398679096844,18.71216537312358,28.893233305973265,4.895421788941286,21.60880289427265,0.9380270323493078,0.9981215162532849,0.45286007415673707
33,2000,45.52956646325101,17.643321091481123,27.886245371769885,4.404522134452764,21.593824013438866,0.7772062963684332,0.7804156084505438,0.3302773190592791
34,2001,43.885255103845324,15.764148417907633,28.121106685937693,4.615082738048532,21.50119523992503,0.9163169496580129,0.8402027269600723,0.24830903134604604
35,2002,43.54283458770161,16.156602939820683,27.38623164788093,4.045260445135766,21.658605638264092,0.6943687071557407,0.8119083268465341,0.17608853047879763
36,2003,46.99575243331838,17.061880169550047,29.933872263768333,4.541642839817731,23.34446672514855,1.03910284819353,0.6456421725905479,0.3630176780179715
37,2004,50.91583677016286,18.969713450979082,31.94612331918378,4.574523047166025,25.51772000242717,0.6970720364804871,0.7050503147092823,0.4517579184008153
38,2005,45.639699239859866,16.809364286551453,28.830334953308416,4.227925689781823,22.466850615154577,0.8548689180052861,0.7340898621373068,0.5465998682294201
39,2006,51.21385955901064,17.90396152642209,33.30989803258855,4.247779267105717,26.627078424428074,0.8555322804256548,0.9761078338292354,0.6034002267998686
40,2007,50.28323551390401,16.549486045689953,33.73374946821406,3.9967434560753685,27.403159405272334,0.8949203794598463,0.9126007739825391,0.5263254534239717
41,2008,48.32539676770171,16.019773509341576,32.305623258360136,4.648309267174138,25.269212644030986,0.7136453341597873,0.8840280501566509,0.7904279628385779
42,2009,47.68609446591961,16.33632946398716,31.34976500193245,4.212326837195113,25.13484346225772,0.755950231051383,0.6124344631560382,0.6342100082721951
43,2010,47.897412921486776,15.39448981765125,32.50292310383553,4.004794331351561,26.55592028454552,0.5723179699274115,0.6559130236696266,0.7139774943414127
44,2011,42.82106084739685,15.562215735685495,27.258845111711352,4.199750153050218,20.767016364546443,0.693188245219759,0.6038653516737043,0.9950249972212303
45,2012,43.74773238380043,16.145299164604495,27.602433219195937,3.1750532709968384,22.666167531082557,0.306478239233091,0.8776944150505613,0.5770397628328893
46,2013,46.1354657335127,17.537253484518363,28.598212248994344,4.849251475353386,21.45624321304842,0.823403350278645,0.6444796852484729,0.8248345250654179
47,2014,46.15865343255123,18.842887283076667,27.315766149474566,4.357245932235041,20.717559784021383,0.7586888072302654,0.7053107513754616,0.7769608746124164
48,2015,46.83268599408808,17.595093397353153,29.23759259673493,4.328109044152185,22.707824236078295,0.6781787117535626,0.6911691354144184,0.8323114693364675
49,2016,49.16479927982711,19.277748336246347,29.887050943580757,4.59187417448117,22.806752490252727,0.4401177281872039,1.2079210939462957,0.8403854567133597
50,2017,47.82662894716553,18.166306447182176,29.660322499983355,4.476181292650097,22.37069044658253,0.39398328499628377,1.3574771713558915,1.061990304398552
