,Year,Total,Fresh,Processed,,,
3,1970,11.655572870324278,2.923242203788098,8.73233066653618,0.5268605683618758,2.3977105014005464,5.807759596773758
4,1971,13.129844203552508,2.564586905350034,10.565257298202475,0.5657105770441623,3.309070336035958,6.690476385122355
5,1972,9.382808885924872,2.5412005724761513,6.84160831344872,0.48344557886624834,2.0939067763753068,4.2642559582071655
6,1973,12.465912454887508,2.9073156859492384,9.558596768938271,0.5592814655070265,2.636152413678697,6.363162889752547
7,1974,12.971332207520966,3.1657994101403264,9.80553279738064,0.5748314015742115,2.8082561991621744,6.4224451966442535
8,1975,13.055302729178402,3.6495433418166754,9.405759387361726,0.4903899390967334,2.534489426839311,6.380880021425683
9,1976,16.176947807585023,3.5698657269858822,12.607082080599142,0.4422027223105092,2.4487049448398164,9.716174413448817
10,1977,12.293039781848204,3.576528773285762,8.716511008562442,0.4927479366180154,1.9318921977014218,6.2918708742430045
11,1978,12.302706578233275,3.1179671026788345,9.18473947555444,0.49666556798222844,3.3765314635447483,5.311542444027464
12,1979,13.350495920726164,3.488405958948473,9.862089961777691,0.5360373439349608,2.5572068419140996,6.768845775928631
13,1980,15.864330419356065,4.013821974731841,11.850508444624223,0.5564117623680178,2.749163348739109,8.544933333517097
14,1981,13.681446946044886,4.092885815748438,9.588561130296448,0.3669131682515277,2.623128585496316,6.598519376548604
15,1982,17.517747540101983,5.773253676072972,11.74449386402901,0.3028244872532521,2.631696023616633,8.809973353159124
16,1983,17.487820059831186,5.642901226631008,11.844918833200177,0.3000145721363609,3.6799397432676297,7.864964517796187
17,1984,18.319480341879874,6.140973299063237,12.178507042816637,0.2549015442785224,3.168615614529728,8.754989884008387
18,1985,19.307131769066515,6.906054710529419,12.401077058537094,0.37899843347314166,2.561712599222295,9.460366025841658
19,1986,18.33157445258331,7.164218529615503,11.167355922967806,0.33383687061317485,2.437827058484255,8.395691993870376
20,1987,18.869156969005644,7.111016444429739,11.758140524575904,0.3308738378056447,3.3298378387506617,8.097428848019597
21,1988,22.002388146482865,7.770154233321447,14.23223391316142,0.3278943852185211,2.9547807701734152,10.949558757769482
22,1989,20.62102611090581,8.015071642082008,12.6059544688238,0.32682930989667947,3.3720820790843704,8.90704307984275
23,1990,19.811078644489204,7.914320414704476,11.896758229784728,0.3236766012893159,3.123095186783507,8.449986441711905
24,1991,20.18621839629384,7.354096447244619,12.83212194904922,0.32623981198067403,3.91789733181838,8.587984805250167
25,1992,18.715032649012983,7.208334965950145,11.50669768306284,0.3667814461589098,4.210793603506078,6.929122633397853
26,1993,19.837541544437585,7.0607683654258775,12.776773179011705,0.3539301605464688,3.852898586836969,8.569944431628269
27,1994,18.820587603418538,7.108816084361958,11.71177151905658,0.2965286978035194,3.1816118082735505,8.23363101297951
28,1995,21.74190460114094,7.536631653612231,14.20527294752871,0.2679568675389747,4.997626809133577,8.939689270856158
29,1996,18.346904546040165,6.8001722909853015,11.546732255054861,0.27187248975390726,4.180640758378674,7.09421900692228
30,1997,19.64565744916908,7.848478036556603,11.797179412612477,0.32796749705188677,4.457322376179245,7.011889539381346
31,1998,18.747399355909664,7.246588130766933,11.500811225142732,0.2651441915186472,3.0160617130206178,8.219605320603467
32,1999,20.160681570560826,8.056643928867128,12.104037641693695,0.2536172823355772,4.810051420137514,7.040368939220604
33,2000,18.668843209253517,7.519783792921816,11.149059416331703,0.22882673965036157,3.7545942785148916,7.16563839816645
34,2001,17.83983034042337,7.451905590778925,10.387924749644444,0.2058537686911277,3.6401121290325587,6.541958851920758
35,2002,19.84156475590067,8.496329579288586,11.345235176612086,0.2186943621264465,4.0481563705203945,7.078384443965246
36,2003,18.969302199505734,7.728020966022094,11.24128123348364,0.19028936684850237,4.438767388706525,6.612224477928613
37,2004,18.688551102400005,7.869321328528317,10.819229773871687,0.1786574849835839,4.227034473817874,6.413537815070229
38,2005,21.528341973230788,8.676919171222359,12.85142280200843,0.1908529158698315,5.634997646857049,7.0255722392815505
39,2006,20.191584861468634,7.667032862738608,12.524551998730026,0.142506058150036,4.879251658872708,7.502794281707281
40,2007,21.293826237435972,8.092335420184924,13.201490817251049,0.1415233513453193,6.189026622655967,6.8709408432497625
41,2008,20.401584023230825,8.335291630966852,12.066292392263971,0.16742714666816544,4.9870752408904995,6.911790004705306
42,2009,18.350684986813476,7.72746129237846,10.623223694435016,0.1319433643016687,4.167632384211712,6.3236479459216355
43,2010,18.51177941201988,7.981749695848825,10.530029716171054,0.16242949302248735,4.0950638335383465,6.27253638961022
44,2011,18.860235833848538,7.403849924090914,11.456385909757625,0.16125296596401542,4.6617740068159925,6.633358936977618
45,2012,17.517497380808123,7.632099787150884,9.885397593657238,0.12887346142941206,3.736829048668329,6.019695083559497
46,2013,19.46931069531344,7.809071733033087,11.660238962280353,0.14010468145505858,4.767827545151398,6.752306735673895
47,2014,19.29675379149307,7.726391663532945,11.570362127960127,0.13328771368116862,4.8199598468068725,6.617114567472086
48,2015,19.17506588364686,7.923569038438563,11.251496845208294,0.13844203804126157,4.057340758289526,7.055714048877506
49,2016,18.282397963846293,8.140555903182552,10.141842060663741,0.12107098615188194,3.8328905902825845,6.187880484229274
50,2017,17.731223017813008,8.27479238623011,9.456430631582895,0.100189096799633,3.4648516746757614,5.891389860107501
51,2018,12.161936565617522,8.10473688503662,4.057199680580901,0.11798756469026625,3.9392121158906344,
52,2019,12.34131562513803,8.429585202224708,3.9117304229133216,0.10557466193204118,3.8061557609812806,
53,NA = Not available.,,,,,,
54,,,,,,,
