,Year,Fresh,Processed1,Total
3,1970,,0.9616811259758773,0.9616811259758773
4,1971,,1.0102627341081696,1.0102627341081696
5,1972,,0.8177843670154825,0.8177843670154825
6,1973,,0.910375011010798,0.910375011010798
7,1974,,0.7895159372342805,0.7895159372342805
8,1975,,0.9672959544805209,0.9672959544805209
9,1976,,1.0441650838016745,1.0441650838016745
10,1977,,1.1281896153286273,1.1281896153286273
11,1978,,1.7922044974046885,1.7922044974046885
12,1979,,0.8832310915144697,0.8832310915144697
13,1980,,1.2857294380732789,1.2857294380732789
14,1981,,0.8147252506889716,0.8147252506889716
15,1982,,1.3895154653118629,1.3895154653118629
16,1983,,1.0309665175650846,1.0309665175650846
17,1984,,1.1874404077462817,1.1874404077462817
18,1985,,1.3263514988792136,1.3263514988792136
19,1986,,1.4054217312370687,1.4054217312370687
20,1987,,1.2676213729516257,1.2676213729516257
21,1988,,1.1631743981301357,1.1631743981301357
22,1989,,1.3508178471022554,1.3508178471022554
23,1990,,1.2910762765436063,1.2910762765436063
24,1991,,0.8442622637689242,0.8442622637689242
25,1992,,1.6057408573581828,1.6057408573581828
26,1993,,1.3018538967250661,1.3018538967250661
27,1994,,0.9581926776008167,0.9581926776008167
28,1995,,0.8966934076876661,0.8966934076876661
29,1996,,1.5645296444139505,1.5645296444139505
30,1997,,1.1626482400320397,1.1626482400320397
31,1998,,1.0581074824368344,1.0581074824368344
32,1999,,1.3886018442735688,1.3886018442735688
33,2000,,0.9012517922701784,0.9012517922701784
34,2001,,1.4943562411445903,1.4943562411445903
35,2002,,1.3241516917445202,1.3241516917445202
36,2003,,1.4087564024274455,1.4087564024274455
37,2004,,1.2958840872016584,1.2958840872016584
38,2005,,1.482870397021969,1.482870397021969
39,2006,,0.8141240557349279,0.8141240557349279
40,2007,,1.4554511755045274,1.4554511755045274
41,2008,,0.9739069559654844,0.9739069559654844
42,2009,,0.9577093917764846,0.9577093917764846
43,2010,,1.7362024177599906,1.7362024177599906
44,2011,,0.8643552719329235,0.8643552719329235
45,2012,,1.2233006750640816,1.2233006750640816
46,2013,,1.2282715490934504,1.2282715490934504
47,2014,,0.8836513095187235,0.8836513095187235
48,2015,,1.155414401197243,1.155414401197243
49,2016,,1.0320836904079227,1.0320836904079227
50,2017,,1.1735955692166613,1.1735955692166613
51,2018,,0.8040795757020667,0.8040795757020667
52,2019,,1.061720735327725,1.061720735327725
53,NA = Not available.,,,
54,,,,
